"","Id_Match","name","last5games_w_per_away","last10games_w_per_away","last20games_w_per_away","last5games_l_per_away","last10games_l_per_away","last20games_l_per_away","last5games_d_per_away","last10games_d_per_away","last20games_d_per_away","last5games_gd_per_away","last10games_gd_per_away","last20games_gd_per_away","last5games_opp_cc_per_away","last10games_opp_cc_per_away","last20games_opp_cc_per_away"
"1",3089,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",8965,"AFG",0.2,0.1,0.05,0,0,0,0,0,0,0.8,0.4,0.2,0.17,0.085,0.0425
"3",8970,"AFG",0.4,0.2,0.1,0,0,0,0,0,0,1.2,0.6,0.3,0.34,0.17,0.085
"4",8973,"AFG",0.6,0.3,0.15,0,0,0,0,0,0,2,1,0.5,0.51,0.255,0.1275
"5",8976,"AFG",0.8,0.4,0.2,0,0,0,0,0,0,2.2,1.1,0.55,0.68,0.34,0.17
"6",8978,"AFG",1,0.5,0.25,0,0,0,0,0,0,3.4,1.7,0.85,0.85,0.425,0.2125
"7",8981,"AFG",0.8,0.5,0.25,0,0,0,0.2,0.1,0.05,2.6,1.7,0.85,0.85,0.51,0.255
"8",9549,"AFG",0.8,0.6,0.3,0,0,0,0.2,0.1,0.05,2.6,1.9,0.95,0.85,0.595,0.2975
"9",10408,"AFG",0.8,0.7,0.35,0,0,0,0.2,0.1,0.05,2,2,1,0.85,0.68,0.34
"10",12746,"AFG",0.8,0.8,0.4,0,0,0,0.2,0.1,0.05,2,2.1,1.05,0.85,0.765,0.3825
"11",12759,"AFG",0.8,0.9,0.45,0,0,0,0.2,0.1,0.05,2,2.7,1.35,0.85,0.85,0.425
"12",12766,"AFG",0.8,0.8,0.45,0,0,0,0.2,0.2,0.1,2,2.3,1.35,0.85,0.85,0.4675
"13",24369,"AFG",0.8,0.8,0.5,0,0,0,0.2,0.2,0.1,2.6,2.6,1.6,0.85,0.85,0.51
"14",24486,"AFG",0.8,0.8,0.55,0,0,0,0.2,0.2,0.1,2.6,2.3,1.65,0.85,0.85,0.5525
"15",24489,"AFG",0.6,0.7,0.55,0.2,0.1,0.05,0.2,0.2,0.1,2.2,2.1,1.6,0.85,0.85,0.595
"16",26933,"AFG",0.6,0.7,0.6,0.2,0.1,0.05,0.2,0.2,0.1,1.8,1.9,1.8,0.85,0.85,0.6375
"17",27014,"AFG",0.8,0.8,0.65,0.2,0.1,0.05,0,0.1,0.1,2.6,2.3,2,0.85,0.85,0.68
"18",27020,"AFG",0.8,0.8,0.7,0.2,0.1,0.05,0,0.1,0.1,1.8,2.2,2.05,0.85,0.85,0.7225
"19",27208,"AFG",0.6,0.7,0.7,0.4,0.2,0.1,0,0.1,0.1,1.4,2,2,0.85,0.85,0.765
"20",28489,"AFG",0.6,0.6,0.7,0.2,0.2,0.1,0.2,0.2,0.15,1.6,1.9,2,0.85,0.85,0.8075
